exc_prob,value
0.000683995,1350
0.001367989,1170
0.002051984,1140
0.002735978,1060
0.003419973,1000
0.004103967,963
0.004787962,928
0.005471956,900
0.006155951,889
0.006839945,876
0.00752394,835
0.008207934,800
0.008891929,794
0.009575923,792
0.010259918,790
0.010943912,782
0.011627907,779
0.012311902,753
0.012995896,744
0.013679891,724
0.014363885,723
0.01504788,715
0.015731874,707
0.016415869,702
0.017099863,642
0.017783858,624
0.018467852,622
0.019151847,612
0.019835841,601
0.020519836,600
0.02120383,595
0.021887825,579
0.022571819,570
0.023255814,561
0.023939808,558
0.024623803,552
0.025307798,540
0.025991792,532
0.026675787,530
0.027359781,530
0.028043776,524
0.02872777,516
0.029411765,516
0.030095759,515
0.030779754,511
0.031463748,508
0.032147743,504
0.032831737,501
0.033515732,498
0.034199726,496
0.034883721,488
0.035567715,482
0.03625171,478
0.036935705,474
0.037619699,460
0.038303694,452
0.038987688,450
0.039671683,447
0.040355677,429
0.041039672,428
0.041723666,422
0.042407661,419
0.043091655,410
0.04377565,409
0.044459644,408
0.045143639,401
0.045827633,400
0.046511628,397
0.047195622,397
0.047879617,393
0.048563611,389
0.049247606,387
0.049931601,380
0.050615595,378
0.05129959,370
0.051983584,369
0.052667579,369
0.053351573,361
0.054035568,353
0.054719562,351
0.055403557,351
0.056087551,350
0.056771546,348
0.05745554,346
0.058139535,344
0.058823529,343
0.059507524,341
0.060191518,339
0.060875513,338
0.061559508,336
0.062243502,336
0.062927497,331
0.063611491,331
0.064295486,331
0.06497948,325
0.065663475,322
0.066347469,318
0.067031464,318
0.067715458,311
0.068399453,311
0.069083447,311
0.069767442,310
0.070451436,310
0.071135431,309
0.071819425,309
0.07250342,308
0.073187415,308
0.073871409,308
0.074555404,300
0.075239398,299
0.075923393,297
0.076607387,297
0.077291382,295
0.077975376,294
0.078659371,288
0.079343365,286
0.08002736,284
0.080711354,284
0.081395349,276
0.082079343,276
0.082763338,274
0.083447332,274
0.084131327,272
0.084815321,268
0.085499316,266
0.086183311,266
0.086867305,263
0.0875513,263
0.088235294,261
0.088919289,261
0.089603283,259
0.090287278,257
0.090971272,257
0.091655267,257
0.092339261,257
0.093023256,255
0.09370725,255
0.094391245,254
0.095075239,254
0.095759234,254
0.096443228,254
0.097127223,254
0.097811218,252
0.098495212,251
0.099179207,250
0.099863201,249
0.100547196,247
0.10123119,246
0.101915185,244
0.102599179,241
0.103283174,241
0.103967168,240
0.104651163,238
0.105335157,237
0.106019152,236
0.106703146,235
0.107387141,235
0.108071135,235
0.10875513,228
0.109439124,227
0.110123119,227
0.110807114,227
0.111491108,225
0.112175103,225
0.112859097,224
0.113543092,222
0.114227086,218
0.114911081,218
0.115595075,218
0.11627907,216
0.116963064,216
0.117647059,213
0.118331053,212
0.119015048,211
0.119699042,211
0.120383037,211
0.121067031,210
0.121751026,208
0.122435021,208
0.123119015,208
0.12380301,207
0.124487004,206
0.125170999,206
0.125854993,205
0.126538988,205
0.127222982,204
0.127906977,204
0.128590971,202
0.129274966,202
0.12995896,202
0.130642955,200
0.131326949,200
0.132010944,200
0.132694938,200
0.133378933,200
0.134062927,199
0.134746922,198
0.135430917,197
0.136114911,196
0.136798906,194
0.1374829,194
0.138166895,194
0.138850889,193
0.139534884,193
0.140218878,192
0.140902873,192
0.141586867,192
0.142270862,192
0.142954856,191
0.143638851,191
0.144322845,189
0.14500684,189
0.145690834,187
0.146374829,187
0.147058824,187
0.147742818,187
0.148426813,186
0.149110807,186
0.149794802,186
0.150478796,185
0.151162791,184
0.151846785,184
0.15253078,183
0.153214774,183
0.153898769,182
0.154582763,182
0.155266758,181
0.155950752,181
0.156634747,180
0.157318741,180
0.158002736,178
0.158686731,178
0.159370725,176
0.16005472,176
0.160738714,176
0.161422709,175
0.162106703,174
0.162790698,173
0.163474692,173
0.164158687,171
0.164842681,171
0.165526676,171
0.16621067,171
0.166894665,171
0.167578659,169
0.168262654,167
0.168946648,167
0.169630643,166
0.170314637,166
0.170998632,165
0.171682627,165
0.172366621,163
0.173050616,163
0.17373461,161
0.174418605,161
0.175102599,161
0.175786594,161
0.176470588,161
0.177154583,161
0.177838577,160
0.178522572,160
0.179206566,160
