"year","min_monthly_temp","max_monthly_temp"
2000,-3.27,20.15
2001,-5.97,20.46
2002,-3.28,21.14
2003,-4.5,21.38
2004,-5.73,20.56
2005,-5.82,20.51
2006,-5.82,20.12
2007,-6.77,20.56
2008,-5.34,20.44
2009,-3.33,21.33
2010,-4.37,20.27
2011,-5.48,20.07
2012,-4.52,20.54
2013,-4.6,21.91
2014,-4.96,21.62
2015,-6.35,21.03
2016,-4.04,22.15
2017,-5.35,21.18
2018,-5.28,21.3
2019,-5.1,21.39
2020,-3.34,20.47
2021,-5.61,21.05
2022,-4.52,20.15
2023,-4.18,21.19
2024,-4.36,20.11
2025,-6.86,21.05
2026,-6.02,20.83
2027,-6.53,20.4
2028,-5.44,19.27
2029,-4.93,20.9
2030,-6.5,20.96
2031,-6.57,20.88
2032,-4.98,21.64
2033,-5.98,20.14
2034,-5.65,21.63
2035,-4.59,21.21
2036,-5.84,20.69
2037,-6.34,20.99
2038,-5.69,20.68
2039,-4.16,19.71
2040,-4.1,20.55
2041,-4.75,20.38
2042,-4.07,20.63
2043,-5.51,20.45
2044,-5.96,20.4
2045,-6.29,21.27
2046,-6.63,21.44
2047,-7.09,21.39
2048,-6.55,21.44
2049,-8.19,20.63
2050,-6.8,20.82
2051,-6.08,20.82
2052,-6.77,20.44
2053,-5.35,20.73
2054,-4.9,20.4
2055,-5.44,21.35
2056,-5.76,20.74
2057,-5.67,20.76
2058,-5.87,20.2
2059,-6.11,21.8
2060,-6.03,20.77
2061,-5.46,20.98
2062,-3.42,20.4
2063,-5.12,20.34
2064,-4.57,20.13
2065,-5.77,20.79
2066,-5.13,21.49
2067,-4.25,20.8
2068,-4.4,21.1
2069,-5.66,21.35
2070,-5.03,20.55
2071,-3.23,21.04
2072,-4.06,21.49
2073,-3.62,20.84
2074,-5.53,21.15
2075,-6.33,20.64
2076,-4.48,21.61
2077,-3.57,21.75
2078,-4.75,20.93
2079,-5.9,20.22
