count,zero_autumn_par_2079,one_autumn_par_2079,two_autumn_par_2079
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,3.93399770501093e-319,0,0
8,3.2457E-308,0,0
9,3.7742E-295,0,0
10,1.5943E-282,0,0
11,2.4207E-270,0,0
12,1.321E-258,0,0
13,2.5911E-247,0,0
14,1.8267E-236,0,0
15,4.6289E-226,0,0
16,4.2159E-216,0,0
17,1.3801E-206,0,0
18,1.6239E-197,0,0
19,6.8675E-189,0,0
20,1.0439E-180,0,0
21,5.7033E-173,0,0
22,1.12E-165,0,0
23,7.905E-159,0,0
24,2.0057E-152,0,0
25,1.8539E-146,0,0
26,2.9803E-140,0,0
27,3.1209E-132,0,0
28,1.984E-124,0,0
29,8.1807E-117,0,0
30,4.3629E-109,0,0
31,1.3972E-101,0,0
32,1.71467E-94,0,0
33,7.78025E-88,0,0
34,1.44254E-81,0,0
35,1.55039E-75,0,0
36,1.2327E-69,0,0
37,5.04262E-64,0,0
38,8.05074E-59,0,0
39,4.6868E-54,1.66817461012824e-317,0
40,9.83482E-50,9.61794335577680e-311,0
41,7.63932E-46,2.0437E-304,0
42,5.79684E-42,1.6089E-298,0
43,2.30052E-37,4.8028E-293,0
44,4.93834E-33,5.9982E-288,0
45,3.84187E-29,1.1778E-282,0
46,1.07443E-25,6.3789E-276,0
47,1.08E-22,1.9027E-269,0
48,3.90203E-20,2.0979E-263,0
49,5.07134E-18,8.5338E-258,0
50,2.49549E-16,1.3087E-252,0
51,1.92492E-14,1.0812E-247,0
52,8.46112E-12,4.4655E-242,0
53,3.27475E-09,2.4375E-235,0
54,8.10853E-07,1.726E-228,0
55,8.67688E-05,5.3674E-222,0
56,0.003466622,6.2497E-216,0
57,0.050222617,2.6823E-210,0
58,0.263193238,4.237E-205,0
59,0.524149128,2.4631E-200,0
60,0.740206093,5.2694E-196,0
61,2.255403458,4.1486E-192,0
62,5.121986695,1.202E-188,0
63,6.547617735,1.3001E-185,0
64,6.97446793,3.117E-181,0
65,5.486952429,2.1414E-175,0
66,2.074556058,5.658E-170,0
