"year","min_monthly_temp","max_monthly_temp"
1949,-1.59,22.82
1950,-2.02,20.2
1951,-3.62,20.82
1952,-3.28,22.28
1953,-2.52,20.71
1954,-7.01,19.78
1955,-5.39,22.95
1956,-3.66,18.95
1957,-8.91,20.1
1958,-5.26,20.31
1959,-6.28,21.26
1960,-4.99,19.16
1961,-10.85,20.29
1962,-6.26,18.64
1963,-7.27,21.05
1964,-4.94,21.46
1965,-7.64,19.03
1966,-5.7,20.91
1967,-2.75,21.08
1968,-8.12,21.35
1969,-6.1,19.77
1970,-10.54,21.12
1971,-9.23,20.07
1972,-4.31,21.07
1973,-3.62,21.39
1974,-3.99,20.55
1975,-3.54,21.85
1976,-8.74,19.89
1977,-9.93,20.64
1978,-6.14,20.33
1979,-5.42,21.47
1980,-4.37,21.07
1981,-9.5,21.64
1982,-10.35,20.83
1983,-4.36,20.37
1984,-7.64,19.83
1985,-7.52,20.62
1986,-4.36,20.37
1987,-5.62,21.67
1988,-6.55,22.29
1989,-2.73,20.86
1990,-0.31,21.55
1991,-4.48,20.49
1992,-4.75,18.74
1993,-3.6,20.7
1994,-10.91,22
1995,-2.04,21.86
1996,-6.29,19.95
1997,-5.37,19.96
1998,-2.19,20.57
1999,-5.98,22.21
2000,-6.97,18.96
2001,-6.74,19.01
2002,-1.82,21.33
2003,-8.99,20.92
2004,-9.15,19.86
2005,-6.66,21.79
2006,-1.66,22.29
2007,-2.82,20.23
2008,-5.12,21.59
2009,-9.43,19.23
2010,-4.63,22.28
