"Temp","Flow","Lambda"
6.928869615,-0.006131024,2.15084847
6.928869615,0.017660779,2.169018273
6.928869615,0.041452581,2.184278711
6.928869615,0.065244384,2.180960717
6.928869615,0.089036186,2.155407499
6.928869615,0.112827989,2.108528343
6.928869615,0.136619791,2.043318544
6.928869615,0.160411594,1.965725146
6.928869615,0.184203396,1.884648705
6.928869615,0.207995199,1.809761775
6.928869615,0.231787001,1.756482354
6.928869615,0.255578804,1.735169295
6.928869615,0.279370606,1.729562681
7.169534522,-0.006131024,1.821359139
7.169534522,0.017660779,1.849341502
7.169534522,0.041452581,1.872450281
7.169534522,0.065244384,1.880179495
7.169534522,0.089036186,1.869374955
7.169534522,0.112827989,1.83997507
7.169534522,0.136619791,1.793292041
7.169534522,0.160411594,1.732234288
7.169534522,0.184203396,1.661421279
7.169534522,0.207995199,1.586762136
7.169534522,0.231787001,1.522320928
7.169534522,0.255578804,1.486291094
7.169534522,0.279370606,1.480245925
7.410199428,-0.006131024,1.530526551
7.410199428,0.017660779,1.564424715
7.410199428,0.041452581,1.592847442
7.410199428,0.065244384,1.60878899
7.410199428,0.089036186,1.609590641
7.410199428,0.112827989,1.594598996
7.410199428,0.136619791,1.563995107
7.410199428,0.160411594,1.518852899
7.410199428,0.184203396,1.461858933
7.410199428,0.207995199,1.398378227
7.410199428,0.231787001,1.339990633
7.410199428,0.255578804,1.299331776
7.410199428,0.279370606,1.282880648
7.650864334,-0.006131024,1.285757777
7.650864334,0.017660779,1.321775811
7.650864334,0.041452581,1.352622071
7.650864334,0.065244384,1.373578926
7.650864334,0.089036186,1.382425567
7.650864334,0.112827989,1.378177065
7.650864334,0.136619791,1.360286632
7.650864334,0.160411594,1.328770563
7.650864334,0.184203396,1.285594594
7.650864334,0.207995199,1.237002366
7.650864334,0.231787001,1.193830631
7.650864334,0.255578804,1.164024386
7.650864334,0.279370606,1.151653936
7.891529241,-0.006131024,1.08655454
7.891529241,0.017660779,1.121708005
7.891529241,0.041452581,1.152463864
7.891529241,0.065244384,1.175566392
7.891529241,0.089036186,1.189154763
7.891529241,0.112827989,1.192082758
7.891529241,0.136619791,1.183408842
7.891529241,0.160411594,1.162738291
7.891529241,0.184203396,1.132121032
7.891529241,0.207995199,1.098598647
7.891529241,0.231787001,1.071725675
7.891529241,0.255578804,1.056553324
7.891529241,0.279370606,1.054985483
8.132194147,-0.006131024,0.928173906
8.132194147,0.017660779,0.960353948
8.132194147,0.041452581,0.989069556
8.132194147,0.065244384,1.011990495
8.132194147,0.089036186,1.027533317
8.132194147,0.112827989,1.034516806
8.132194147,0.136619791,1.031952269
8.132194147,0.160411594,1.01970478
8.132194147,0.184203396,1.000553002
8.132194147,0.207995199,0.981526978
8.132194147,0.231787001,0.969547776
8.132194147,0.255578804,0.967105226
8.132194147,0.279370606,0.974442498
8.372859053,-0.006131024,0.803787657
8.372859053,0.017660779,0.83161381
8.372859053,0.041452581,0.856845204
8.372859053,0.065244384,0.877742373
8.372859053,0.089036186,0.89297659
8.372859053,0.112827989,0.901532804
8.372859053,0.136619791,0.902841118
8.372859053,0.160411594,0.897695552
8.372859053,0.184203396,0.889700022
8.372859053,0.207995199,0.884440679
8.372859053,0.231787001,0.885506627
8.372859053,0.255578804,0.893397744
8.372859053,0.279370606,0.907436856
8.61352396,-0.006131024,0.704712366
8.61352396,0.017660779,0.72741603
8.61352396,0.041452581,0.748169601
8.61352396,0.065244384,0.765691713
8.61352396,0.089036186,0.779060206
8.61352396,0.112827989,0.787849361
8.61352396,0.136619791,0.792488064
8.61352396,0.160411594,0.794861018
8.61352396,0.184203396,0.798180859
8.61352396,0.207995199,0.805195628
8.61352396,0.231787001,0.81678764
8.61352396,0.255578804,0.832572491
8.61352396,0.279370606,0.851864531
8.854188866,-0.006131024,0.619366012
8.854188866,0.017660779,0.636552048
8.854188866,0.041452581,0.652496356
8.854188866,0.065244384,0.666517404
8.854188866,0.089036186,0.678440748
8.854188866,0.112827989,0.688777975
8.854188866,0.136619791,0.698766683
8.854188866,0.160411594,0.710008804
8.854188866,0.184203396,0.723695425
8.854188866,0.207995199,0.740145496
8.854188866,0.231787001,0.759102229
8.854188866,0.255578804,0.780204754
8.854188866,0.279370606,0.803190805
9.094853773,-0.006131024,0.532892329
9.094853773,0.017660779,0.546316762
9.094853773,0.041452581,0.560082539
9.094853773,0.065244384,0.574114303
9.094853773,0.089036186,0.58869839
9.094853773,0.112827989,0.604385204
9.094853773,0.136619791,0.621725312
9.094853773,0.160411594,0.640992348
9.094853773,0.184203396,0.662066321
9.094853773,0.207995199,0.684525497
9.094853773,0.231787001,0.707909081
9.094853773,0.255578804,0.732009642
9.094853773,0.279370606,0.756955041
9.335518679,-0.006131024,0.453293663
9.335518679,0.017660779,0.466759529
9.335518679,0.041452581,0.481896555
9.335518679,0.065244384,0.498614863
9.335518679,0.089036186,0.516974553
9.335518679,0.112827989,0.537146557
9.335518679,0.136619791,0.559277327
9.335518679,0.160411594,0.583299062
9.335518679,0.184203396,0.608791705
9.335518679,0.207995199,0.634994259
9.335518679,0.231787001,0.661079367
9.335518679,0.255578804,0.68667783
9.335518679,0.279370606,0.712248835
9.576183585,-0.006131024,0.404437349
9.576183585,0.017660779,0.415693487
9.576183585,0.041452581,0.42941591
9.576183585,0.065244384,0.445286233
9.576183585,0.089036186,0.463251177
9.576183585,0.112827989,0.483532402
9.576183585,0.136619791,0.506592184
9.576183585,0.160411594,0.532744732
9.576183585,0.184203396,0.561412245
9.576183585,0.207995199,0.590875156
9.576183585,0.231787001,0.619190083
9.576183585,0.255578804,0.645502661
9.576183585,0.279370606,0.670785193
9.816848492,-0.006131024,0.375811625
9.816848492,0.017660779,0.382025673
9.816848492,0.041452581,0.392083487
9.816848492,0.065244384,0.404905155
9.816848492,0.089036186,0.420190053
9.816848492,0.112827989,0.438228597
9.816848492,0.136619791,0.460054852
9.816848492,0.160411594,0.487119413
9.816848492,0.184203396,0.519005373
9.816848492,0.207995199,0.552115705
9.816848492,0.231787001,0.582568382
9.816848492,0.255578804,0.608944745
9.816848492,0.279370606,0.633087605
